filename,Company Name,Sector,Ticker
11BIT.xlsx,11 bit studios SA,gry,11B
3LPSA.xlsx,3LP SA,,3LP_IPO
3RGAMES.xlsx,3R Games SA,gry,3RG
AB.xlsx,AB SA,komputery i elektronika,ABE
AC.xlsx,AC SA,części samochodowe,ACG
ACTION.xlsx,Action SA,komputery i elektronika,ACT
ADIUVO.xlsx,Adiuvo Investments SA,sprzęt i materiały medyczne,ADV
AGORA.xlsx,Agora SA,wydawnictwa,AGO
AGROPUBL.xlsx,Agroton plc.,produkcja rolna i rybołówstwo,AGT
AGROWILL.xlsx,AUGA Group AB,produkcja rolna i rybołówstwo,AUG
AIGAMES.xlsx,All in! Games SA,gry,ALG
AILLERON.xlsx,Ailleron SA,oprogramowanie,ALL
AIRWAY.xlsx,Airway Medix SA,sprzęt i materiały medyczne,AWM
ALLEGRO.xlsx,Allegro.eu SA,handel internetowy,ALE
ALUMETAL.xlsx,Alumetal SA,hutnictwo metali nieżelaznych,AML
AMBRA.xlsx,Ambra SA,napoje,AMB
AMICA.xlsx,Amica SA,sprzęt elektryczny i elektroniczny,AMC
AMPLI.xlsx,Ampli SA w upadłości układowej,artykuły elektryczne,APL
AMREST.xlsx,AmRest Holdings SE,hotele i restauracje,EAT
ANSWEAR.xlsx,Answear.com SA,handel internetowy,ANR
APATOR.xlsx,Apator SA,urządzenia elektryczne,APT
APLISENS.xlsx,Aplisens SA,urządzenia elektryczne,APN
APSENERG.xlsx,APS Energia SA,urządzenia elektryczne,APE
ARCTIC.xlsx,Arctic Paper SA,papier i opakowania,ATC
ARTERIA.xlsx,Arteria SA,usługi dla przedsiębiorstw,ARR
ARTIFEX.xlsx,Artifex Mundi SA,gry,ART
ASBIS.xlsx,ASBISc Enterprises plc.,komputery i elektronika,ASB
ASMGROUP.xlsx,ASM Group SA,reklama i marketing,ASM
ASSECOBS.xlsx,Asseco BS SA,oprogramowanie,ABS
ASSECOP.xlsx,Asseco Poland SA,systemy informatyczne,ACP
ASSECOSE.xlsx,Asseco SEE SA,oprogramowanie,ASE
ASTARTA.xlsx,Astarta Holding NV,produkcja rolna i rybołówstwo,AST
ATENDE.xlsx,Atende SA,systemy informatyczne,ATD
ATLANTA.xlsx,Atlanta Poland SA,żywność,ATP
ATMG.xlsx,ATM Grupa SA,radio i telewizja,ATG
ATREM.xlsx,Atrem SA,instalacje budowlane i telekomunikacyjne,ATR
AUTOPART.xlsx,Auto Partner SA,części samochodowe,APR
AZOTY.xlsx,Grupa Azoty SA,chemia podstawowa,ATT
BAHOLDING.xlsx,British Automotive Holding SA,motoryzacja - pozostałe,BAH
BEDZIN.xlsx,Elektrociepłownia Będzin SA,energetyka,BDZ
BENEFIT.xlsx,Benefit Systems SA,rekreacja i wypoczynek - pozostałe,BFT
BERLING.xlsx,Berling SA,artykuły elektryczne,BRG
BETACOM.xlsx,Betacom SA,oprogramowanie,BCM
BIGCHEESE.xlsx,Big Cheese Studio SA,gry,BCS
BIOCELTIX.xlsx,Bioceltix SA,biotechnologia,BCX
BIOMAXIM.xlsx,BioMaxima SA,biotechnologia,BMX
BIOMED.xlsx,Biomed Lublin SA,produkcja leków,BML
BIOPLAN.xlsx,Bio Planet SA,artykuły codziennego użytku,BIP
BIOTON.xlsx,Bioton SA,produkcja leków,BIO
BMW.xlsx,BMW AG,,BMW
BOGDANKA.xlsx,LW Bogdanka SA,górnictwo węgla,LWB
BOOMBIT.xlsx,BoomBit SA,gry,BBT
BORYSZEW.xlsx,Boryszew SA,hutnictwo metali nieżelaznych,BRS
BOWIM.xlsx,Bowim SA,wyroby hutnicze,BOW
BRAND24.xlsx,Brand24 SA,oprogramowanie,B24
BRASTER.xlsx,Braster SA w restrukturyzacji,sprzęt i materiały medyczne,BRA
BUDIMEX.xlsx,Budimex SA,budownictwo ogólne,BDX
BUMECH.xlsx,Bumech SA,urządzenia mechaniczne,BMC
CAPTORTX.xlsx,Captor Therapeutics SA,biotechnologia,CTX
CCC.xlsx,CCC SA,odzież i obuwie,CCC
CDPROJEK.xlsx,CD Projekt SA,gry,CDR
CDRL.xlsx,CDRL SA,odzież i obuwie,CDL
CENNOWTE.xlsx,CNT SA,inżynieria lądowa i wodna,CNT
CEZ.xlsx,CEZ a.s.,energetyka,CEZ
CFIHOL.xlsx,CFI Holding SA,hotele i restauracje,CFI
CIECH.xlsx,Ciech SA,chemia podstawowa,CIE
CIGAMES.xlsx,CI Games SA,gry,CIG
CITYSERV.xlsx,City Service SE,usługi dla przedsiębiorstw,CTS
CLNPHARMA.xlsx,Celon Pharma SA,produkcja leków,CLN
COALENER.xlsx,Coal Energy SA,górnictwo węgla,CLE
COGNOR.xlsx,Cognor Holding SA,hutnictwo żelaza i stali,COG
COMARCH.xlsx,ComArch SA,systemy informatyczne,CMR
COMPERIA.xlsx,Comperia.pl SA,portale internetowe,CPL
COMPREMUM.xlsx,Compremum SA,materiały budowlane,CPR
COMP_W.xlsx,Comp SA,oprogramowanie,CMP
CORMAY.xlsx,PZ Cormay SA,produkcja leków,CRM
CREEPYJAR.xlsx,Creepy Jar SA,gry,CRJ
CREOTECH.xlsx,Creotech Instruments SA,nowe technologie,CRI
CYFPOLS.xlsx,Cyfrowy Polsat SA,telekomunikacja,CPS
DADELO.xlsx,Dadelo SA,handel internetowy,DAD
DATAWALK.xlsx,DataWalk SA,oprogramowanie,DAT
DEBICA.xlsx,Dębica SA,części samochodowe,DBC
DECORA.xlsx,Decora SA,materiały budowlane,DCR
DEKPOL.xlsx,Dekpol SA,budownictwo - pozostałe,DEK
DELKO.xlsx,Delko SA,artykuły spożywcze i szybkozbywalne,DEL
DIGITANET.xlsx,Digital Network SA,reklama i marketing,DIG
DIGITREE.xlsx,Digitree Group SA,oprogramowanie,DTR
DINOPL.xlsx,Dino Polska SA,artykuły codziennego użytku,DNP
DOMDEVEL.xlsx,Dom Development SA,sprzedaż nieruchomości,DOM
DREWEX.xlsx,Drewex SA w restrukturyzacji ,drewno,DRE
DROZAPOL.xlsx,Drozapol-Profil SA,wyroby hutnicze,DPL
EDINV.xlsx,ED Invest SA,sprzedaż nieruchomości,EDI
EFEKT.xlsx,Efekt SA,usługi dla przedsiębiorstw,EFK
EKO_EXP.xlsx,Eko Export SA,recykling,EEX
ELEKTROT.xlsx,Elektrotim SA,instalacje budowlane i telekomunikacyjne,ELT
ELZAB.xlsx,Elzab SA,sprzęt informatyczny,ELZ
EMC.xlsx,EMC Instytut Medyczny SA,szpitale i przychodnie,EMC
ENEA.xlsx,Enea SA,energetyka,ENA
ENEFI.xlsx,Enefi plc.,energia odnawialna,EST
ENELMED.xlsx,Enel-Med SA,szpitale i przychodnie,ENE
ENERGA.xlsx,Energa SA,energetyka,ENG
ENERGOAP.xlsx,Energoaparatura SA,budownictwo przemysłowe,ENP
ENERGOIN.xlsx,Energoinstal SA,instalacje budowlane i telekomunikacyjne,ENI
ENTER.xlsx,Enter Air SA,transport,ENT
ERBUD.xlsx,Erbud SA,budownictwo przemysłowe,ERB
ERG.xlsx,ERG SA,tworzywa sztuczne,ERG
ESOTIQ.xlsx,Esotiq&Henderson SA,odzież i obuwie,EAH
EUROCASH.xlsx,Eurocash SA,artykuły codziennego użytku,EUR
EUROTEL.xlsx,Eurotel SA,elektronika użytkowa,ETL
FAMUR.xlsx,Famur SA,urządzenia mechaniczne,FMF
FASING.xlsx,Fasing SA,urządzenia mechaniczne,FSG
FEERUM.xlsx,Feerum SA,urządzenia mechaniczne,FEE
FERRO.xlsx,Ferro SA,materiały budowlane,FRO
FERRUM.xlsx,Ferrum SA,hutnictwo żelaza i stali,FER
FORTE.xlsx,Forte SA,meble i dywany,FTE
GAMEOPS.xlsx,Games Operators SA,gry,GOP
GAMFACTOR.xlsx,Gaming Factory SA,gry,GIF
GIGROUP.xlsx,GI Group Poland SA,urządzenia elektryczne,GIG
GLOBCOSM.xlsx,Global Cosmed SA,kosmetyki i chemia gospodarcza,GLC
GOBARTO.xlsx,Gobarto SA,żywność,GOB
GREENX.xlsx,GreenX Metals Ltd.,górnictwo węgla,GRX
GRODNO.xlsx,Grodno SA,artykuły elektryczne,GRN
GRUPRACUJ.xlsx,Grupa Pracuj SA,media - pozostałe,GPP
HARPER.xlsx,Harper Hygienics SA,kosmetyki i chemia gospodarcza,HRP
HELIO.xlsx,Helio SA,żywność,HEL
HERKULES.xlsx,Herkules SA,budownictwo - pozostałe,HRS
HOLLYWOO.xlsx,Hollywood SA,handel i usługi - pozostałe,HLD
HUUUGE.xlsx,"Huuuge, Inc.",gry,HUG
HYDROTOR.xlsx,Hydrotor SA,urządzenia mechaniczne,HDR
IFIRMA.xlsx,iFirma SA,oprogramowanie,IFI
IFSA.xlsx,Investment Friends SE,pośrednictwo finansowe,IFR
IMCSA.xlsx,IMC S.A.,produkcja rolna i rybołówstwo,IMC
INSTAL_K.xlsx,Instal Kraków SA,budownictwo przemysłowe,INK
INTERCAR.xlsx,Inter Cars SA,części samochodowe,CAR
INTERFER.xlsx,Interferie SA,hotele i restauracje,inf
INTERLUB.xlsx,Interbud-Lublin SA,budownictwo ogólne,ITB
INTERMED.xlsx,IMS SA,media - pozostałe,IMS
INTERRAO.xlsx,Inter Rao Lietuva AB,energetyka,IRL
INTERSPO.xlsx,Intersport Polska SA,odzież i obuwie,IPO
INTROL.xlsx,Introl SA,urządzenia mechaniczne,INL
ITMTRADE.xlsx,Interma Trade SA w likwidacji,odzież i obuwie,ITM
IZOBLOK.xlsx,Izoblok SA,tworzywa sztuczne,IZB
IZOL_JAR.xlsx,Izolacja Jarocin SA,materiały budowlane,IZO
IZOSTAL.xlsx,Izostal SA,wyroby metalowe,IZS
JSW.xlsx,Jastrzębska Spółka Węglowa SA,górnictwo węgla,JSW
JWWINV.xlsx,JWW Invest SA,urządzenia mechaniczne,JWW
K2HOLDING.xlsx,K2 Holding SA,reklama i marketing,K2H
KCI.xlsx,KCI SA,wydawnictwa,KCI
KDMSHIP.xlsx,KDM Shipping Public Ltd.,transport,KDM
KERNEL.xlsx,Kernel Holding S.A.,żywność,KER
KETY.xlsx,Grupa Kęty SA,hutnictwo metali nieżelaznych,KTY
KGHM.xlsx,KGHM Polska Miedź SA,górnictwo metali,KGH
KGL.xlsx,KGL SA,chemikalia,KGL
KINOPL.xlsx,Kino Polska TV SA,radio i telewizja,KPL
KOGENER.xlsx,Kogeneracja SA,energetyka,KGN
KOMPAP.xlsx,Kompap SA,papier i opakowania,KMP
KOMPUTRO.xlsx,Komputronik SA  w restrukturyzacji,elektronika użytkowa,KOM
KORBUDOM.xlsx,KB Dom SA w upadłości,materiały budowlane,KBD
KPPD.xlsx,KPPD SA,drewno,KPD
KRAKCHEM.xlsx,Krakchemia SA,chemikalia,KCH
KRKA.xlsx,KRKA d.d.,produkcja leków,KRK
KRVITAMI.xlsx,Krynica Vitamin SA,napoje,KVT
KRYNICKI.xlsx,Krynicki Recykling SA,recykling,KRC
KSGAGRO.xlsx,KSG Agro S.A.,produkcja rolna i rybołówstwo,KSG
LABOPRIN.xlsx,Labo Print SA,usługi dla przedsiębiorstw,LAB
LARK.xlsx,Lark.pl SA,sprzęt informatyczny,LRK
LARQ.xlsx,Larq SA,reklama i marketing,LRQ
LENA.xlsx,Lena Lighting SA,urządzenia elektryczne,LEN
LENTEX.xlsx,Lentex SA,materiały budowlane,LTX
LESS.xlsx,Less SA,handel internetowy,LES
LIBET.xlsx,Libet SA,materiały budowlane,LBT
LIVECHAT.xlsx,LiveChat Software SA,oprogramowanie,LVC
LOTOS.xlsx,Grupa Lotos SA,wydobycie i produkcja,LTS
LPP.xlsx,LPP SA,odzież i obuwie,LPP
LSISOFT.xlsx,LSI Software SA,oprogramowanie,LSI
LUBAWA.xlsx,Lubawa SA,odzież i kosmetyki - pozostałe,LBW
LZPS.xlsx,Protektor SA,odzież i obuwie,PRT
MABION.xlsx,Mabion SA,produkcja leków,MAB
MAKARONY.xlsx,Makarony Polskie SA,żywność,MAK
MANGATA.xlsx,Mangata Holding SA,wyroby metalowe,MGT
MANYDEV.xlsx,ManyDev Studio SE,gry,MAN
MASTERPH.xlsx,Master Pharm SA,produkcja leków,MPH
MAXCOM.xlsx,Maxcom SA,sprzęt elektryczny i elektroniczny,MXC
MBWS.xlsx,Marie Brizard Wine & Spirits S.A.,napoje,MBW
MDIENERG.xlsx,MDI Energia SA,inżynieria lądowa i wodna,MDI
MEDIACAP.xlsx,Mediacap SA,reklama i marketing,MCP
MEDICALG.xlsx,Medicalgorithmics SA,sprzęt i materiały medyczne,MDG
MEDINICE.xlsx,Medinice SA,ochrona zdrowia - pozostałe,ICE
MEGAR.xlsx,Megaron SA,materiały budowlane,MEG
MENNICA.xlsx,Mennica Polska SA,hutnictwo metali nieżelaznych,MNC
MERCATOR.xlsx,Mercator Medical SA,sprzęt i materiały medyczne,MRC
MERCEDES.xlsx,Mercedes-Benz Group AG,,MBG
MERCOR.xlsx,Mercor SA,materiały budowlane,MCR
MEXPOLSKA.xlsx,Mex Polska SA,hotele i restauracje,MEX
MFOSA.xlsx,MFO SA,materiały budowlane,MFO
MILKI.xlsx,Milkiland Foods PLC,żywność,MLK
MIRACUL.xlsx,Miraculum SA,kosmetyki i chemia gospodarcza,MIR
MIRBUD.xlsx,Mirbud SA,budownictwo ogólne,MRB
MLSYSTEM.xlsx,ML System SA,energia odnawialna,MLS
MOBRUK.xlsx,Mo-Bruk SA,recykling,MBR
MOJ.xlsx,MOJ SA,urządzenia mechaniczne,MOJ
MOL.xlsx,MOL Rt.,wydobycie i produkcja,MOL
MOLECURE.xlsx,Molecure SA,biotechnologia,MOC
MONNARI.xlsx,Monnari Trade SA,odzież i obuwie,MON
MOST_PK.xlsx,Mostostal Płock SA,budownictwo przemysłowe,MSP
MOST_WWA.xlsx,Mostostal Warszawa SA,budownictwo przemysłowe,MSW
MOST_ZAB.xlsx,Mostostal Zabrze SA,budownictwo przemysłowe,MSZ
MUZA.xlsx,Muza SA,wydawnictwa,MZA
NANOGROUP.xlsx,NanoGroup SA,biotechnologia,NNG
NETIA.xlsx,Netia SA,telekomunikacja,NET
NEUCA.xlsx,Neuca SA,dystrybucja leków,NEU
NEWAG.xlsx,Newag SA,środki transportu,NWG
NEXITY.xlsx,Nexity Global SA,usługi dla przedsiębiorstw,NXG
NOVATURAS.xlsx,Novaturas AB,biura podróży,NTU
NOVITA.xlsx,Novita SA,zaopatrzenie - pozostałe,NVT
NTT.xlsx,NTT System SA,sprzęt informatyczny,NTT
ODLEWNIE.xlsx,Odlewnie Polskie SA,hutnictwo żelaza i stali,ODL
OEX.xlsx,OEX SA,handel i usługi - pozostałe,OEX
ONDE.xlsx,Onde SA,energia odnawialna,OND
OPONEO.xlsx,Oponeo.pl SA,handel internetowy,OPN
OPTEAM.xlsx,OPTeam SA,oprogramowanie,OPM
ORANGEPL.xlsx,Orange Polska SA,telekomunikacja,OPL
ORZELBIA.xlsx,Orzeł Biały SA,recykling,OBL
OTLOGIS.xlsx,OT Logistics SA,transport,OTS
OVOSTAR.xlsx,Ovostar Union NV,żywność,OVO
PAK.xlsx,ZE PAK SA,energetyka,ZEP
PAMAPOL.xlsx,Pamapol SA,żywność,PMP
PANOVA.xlsx,PA Nova SA,budownictwo ogólne,NVA
PATENTUS.xlsx,Patentus SA,urządzenia mechaniczne,PAT
PBG.xlsx,PBG SA w restrukturyzacji,budownictwo przemysłowe,PBG
PBKM.xlsx,PBKM SA,biotechnologia,BKM
PCCEXOL.xlsx,PCC Exol SA,chemia specjalistyczna,PCX
PCCROKIT.xlsx,PCC Rokita SA,chemia podstawowa,PCR
PCFGROUP.xlsx,PCF Group SA,gry,PCF
PC_GUARD.xlsx,PC Guard SA,oprogramowanie,PCG
PEKABEX.xlsx,Pekabex SA,materiały budowlane,PBX
PEP.xlsx,Polenergia SA,energetyka,PEP
PEPCO.xlsx,Pepco Group NV,artykuły codziennego użytku,PCO
PEPEES.xlsx,Pepees SA,napoje,PPS
PGE.xlsx,PGE SA,energetyka,PGE
PGNIG.xlsx,PGNiG SA,wydobycie i produkcja,PGN
PGSSOFT.xlsx,PGS Software SA,oprogramowanie,PSW
PHARMENA.xlsx,Pharmena SA,produkcja leków,PHR
PHOTON.xlsx,Photon Energy NV,energia odnawialna,PEN
PJPMAKRUM.xlsx,PJP Makrum SA,budownictwo przemysłowe,PJP
PKNORLEN.xlsx,PKN Orlen SA,wydobycie i produkcja,PKN
PKPCARGO.xlsx,PKP Cargo SA,transport,PKP
PLASTBOX.xlsx,Plast-Box SA,tworzywa sztuczne,PLX
PLAYWAY.xlsx,PlayWay SA,gry,PLW
PMPG.xlsx,PMPG Polskie Media SA,wydawnictwa,PGM
POLICE.xlsx,Police SA,chemia podstawowa,PCE
POLIMEX.xlsx,Polimex Mostostal SA,budownictwo przemysłowe,PXM
POLTREG.xlsx,Poltreg SA,biotechnologia,PTG
POLWAX.xlsx,Polwax SA,chemia specjalistyczna,PWX
PRIMAMOD.xlsx,Prima Moda SA,odzież i obuwie,PMA
PRIMETECH.xlsx,Primetech SA,urządzenia mechaniczne,PTH
PROCAD.xlsx,Procad SA,oprogramowanie,PRD
PROCHEM.xlsx,Prochem SA,budownictwo przemysłowe,PRM
PULAWY.xlsx,Puławy SA,chemia podstawowa,ZAP
PUNKPIRAT.xlsx,PunkPirates SA,gry,PUN
PURE.xlsx,Pure Biologics SA,biotechnologia,PUR
QUANTUM.xlsx,Quantum Software SA,systemy informatyczne,QNT
R22.xlsx,R22 SA,nowe technologie,R22
RADPOL.xlsx,Radpol SA,tworzywa sztuczne,RDL
RAFAKO.xlsx,Rafako SA,budownictwo przemysłowe,RFK
RAFAMET.xlsx,Rafamet SA,urządzenia mechaniczne,RAF
RAINBOW.xlsx,Rainbow Tours SA,biura podróży,RBW
RAWLPLUG.xlsx,Rawlplug SA,wyroby metalowe,RWL
REDAN.xlsx,Redan SA,odzież i obuwie,RDN
REGNON.xlsx,Regnon SA w likwidacji,informatyka - pozostałe,REG
RELPOL.xlsx,Relpol SA,urządzenia elektryczne,RLP
REMAK.xlsx,Remak-Energomontaż SA,budownictwo przemysłowe,RMK
RESBUD.xlsx,Resbud SE,budownictwo ogólne,RES
RONSON.xlsx,Ronson Development SE,sprzedaż nieruchomości,RON_C
ROPCZYCE.xlsx,ZM Ropczyce SA,materiały budowlane,RPC
RYVU.xlsx,Ryvu Therapeutics SA,biotechnologia,RVU
SADOVAYA.xlsx,Sadovaya Group SA,górnictwo węgla,SGR
SANWIL.xlsx,Sanwil SA,odzież i obuwie,SNW
SATIS.xlsx,Satis Group SA,usługi dla przedsiębiorstw,STS
SECOWAR.xlsx,Seco/Warwick SA,urządzenia mechaniczne,SWG
SEKO.xlsx,Seko SA,żywność,SEK
SELENAFM.xlsx,Selena FM SA,materiały budowlane,SEL
SELVITA.xlsx,Selvita SA,biotechnologia,SLV
SERINUS.xlsx,Serinus Energy plc,wydobycie i produkcja,SEN
SESCOM.xlsx,Sescom SA,usługi dla przedsiębiorstw,SES
SFINKS.xlsx,Sfinks Polska SA,hotele i restauracje,SFS
SHOPER.xlsx,Shoper SA,oprogramowanie,SHO
SILVAIR.xlsx,Silvair Inc.,oprogramowanie,SVRS
SILVANO.xlsx,Silvano Group AS,odzież i obuwie,SFG
SIMFABRIC.xlsx,SimFabric SA,gry,SIM
SIMPLE.xlsx,Simple SA,oprogramowanie,SME
SKOTAN.xlsx,Skotan SA,paliwa i gaz - pozostałe,SKT
SLEEPZAG.xlsx,Sleepz AG,handel internetowy,SLZ
SNIEZKA.xlsx,Śnieżka SA,materiały budowlane,SKA
SOLAR.xlsx,Solar Company SA,odzież i obuwie,SOL
SONEL.xlsx,Sonel SA,urządzenia elektryczne,SON
SOPHARM.xlsx,Sopharma AD,produkcja leków,SPH
SPYROSOFT.xlsx,SpyroSoft SA,oprogramowanie,SPR
STALEXP.xlsx,Stalexport Autostrady SA,transport i logistyka - pozostałe,STX
STALPROD.xlsx,Stalprodukt SA,hutnictwo żelaza i stali,STP
STALPROF.xlsx,Stalprofil SA,wyroby hutnicze,STF
STOMIL_S.xlsx,Sanok Rubber Company SA,części samochodowe,SNK
STSHOLDING.xlsx,STS Holding SA,rekreacja i wypoczynek - pozostałe,STH
SUNEX.xlsx,Sunex SA,urządzenia elektryczne,SNX
SUWARY.xlsx,Suwary SA,tworzywa sztuczne,SUW
SWISSMED.xlsx,Swissmed Centrum Zdrowia SA,szpitale i przychodnie,SWD
SYGNITY.xlsx,Sygnity SA,systemy informatyczne,SGN
SYNEKTIK.xlsx,Synektik SA,biotechnologia,SNT
TALEX.xlsx,Talex SA,systemy informatyczne,TLX
TARCZYNS.xlsx,Tarczyński SA,żywność,TAR
TATRMR.xlsx,Tatry Mountain Resorts a.s.,hotele i restauracje,TMR
TAURON.xlsx,Tauron PE SA,energetyka,TPE
TBULL.xlsx,T-Bull SA,gry,TBL
TERMOREX.xlsx,Termo-Rex SA,dystrybucja paliw i gazu,TRR
TESGAS.xlsx,Tesgas SA,inżynieria lądowa i wodna,TSG
TIM.xlsx,TIM SA,artykuły elektryczne,TIM
TORPOL.xlsx,Torpol SA,inżynieria lądowa i wodna,TOR
TOYA.xlsx,Toya SA,handel hurtowy - pozostałe,TOA
TRAKCJA.xlsx,Trakcja SA,inżynieria lądowa i wodna,TRK
TRANSPOL.xlsx,Trans Polonia SA,transport,TRN
TSGAMES.xlsx,Ten Square Games SA,gry,TEN
TXM.xlsx,TXM SA,odzież i obuwie,TXM
UFGAMES.xlsx,Uf Games SA,,UFG_IPO
ULMA.xlsx,Ulma Construccion Polska SA,materiały budowlane,ULM
ULTGAMES.xlsx,Ultimate Games SA,gry,ULG
UNIBEP.xlsx,Unibep SA,budownictwo ogólne,UNI
UNIMA.xlsx,Unima 2000 SA,systemy informatyczne,U2K
UNIMOT.xlsx,Unimot SA,dystrybucja paliw i gazu,UNT
URSUS.xlsx,Ursus SA w upadłości,środki transportu,URS
VERCOM.xlsx,Vercom SA,systemy informatyczne,VRC
VIGOPHOTN.xlsx,Vigo Photonics SA,urządzenia elektryczne,VGO
VISTAL.xlsx,Vistal Gdynia SA,inżynieria lądowa i wodna,VTL
VIVID.xlsx,Vivid Games SA,gry,VVD
VOXEL.xlsx,Voxel SA,sprzęt i materiały medyczne,VOX
VRG.xlsx,VRG SA,odzież i obuwie,VRG
WASKO.xlsx,Wasko SA,systemy informatyczne,WAS
WAWEL.xlsx,Wawel SA,żywność,WWL
WIELTON.xlsx,Wielton SA,środki transportu,WLT
WIRTUALN.xlsx,WP Holding SA,portale internetowe,WPL
WITTCHEN.xlsx,Wittchen SA,odzież i obuwie,WTN
WOJAS.xlsx,Wojas SA,odzież i obuwie,WOJ
XTPL.xlsx,XTPL SA,nowe technologie,XTP
ZAMET.xlsx,Zamet SA,urządzenia mechaniczne,ZMT
ZPC_OTM.xlsx,ZPC Otmuchów SA,żywność,OTM
ZPUE.xlsx,ZPUE SA,urządzenia elektryczne,PUE
ZREMBCH.xlsx,Zremb-Chojnice SA,urządzenia mechaniczne,ZRE
ZUE.xlsx,ZUE SA,instalacje budowlane i telekomunikacyjne,ZUE
ZUK.xlsx,ZUK Stąporków SA,wyroby metalowe,ZUK
ZYWIEC.xlsx,Grupa Żywiec SA,napoje,ZWC
